Compound;6;1.0;0.69514915;0.73697091
Compound;6;1.2;0.66741809;0.70952193
Compound;6;1.4;0.69118235;0.73524750
Compound;6;1.6;0.72677990;0.75785881
Compound;6;1.8;0.69596747;0.73891093
Compound;6;2.0;0.67419112;0.71895618
Compound;6;2.2;0.69275876;0.73442513
Compound;6;2.4;0.69050387;0.73484473
Compound;6;2.6;0.69517474;0.73837096
Compound;6;2.8;0.68991507;0.73537046
Compound;6;3.0;0.67722495;0.72032300
Compound;6;3.2;0.69473509;0.73757928
Compound;6;10.0;0.77527659;0.78829637




new 

Compound;6;1.0;0.66753946;0.70989386
Compound;6;1.2;0.67492957;0.71795294
Compound;6;1.4;0.67841907;0.72145129
Compound;6;1.6;0.67940279;0.72350023
Compound;6;1.8;0.68071823;0.72346351
Compound;6;2.0;0.68075219;0.72358345
Compound;6;2.2;0.67841907;0.72145129
Compound;6;2.4;0.69294192;0.73719446
Compound;6;2.6;0.68751398;0.73032186
Compound;6;2.8;0.68327605;0.72670083
Compound;6;3.0;0.67925463;0.72286927
Compound;6;3.2;0.68351789;0.72673160
