pathbased;3;1.0;0.51221656;0.54968446
pathbased;3;1.2;0.50979783;0.54697804
pathbased;3;1.4;0.48639285;0.52094978
pathbased;3;1.6;0.51917046;0.55438724
pathbased;3;1.8;0.52347389;0.55769885
pathbased;3;2.0;0.49419900;0.52679359
pathbased;3;2.2;0.52573845;0.55876046
pathbased;3;2.4;0.52463768;0.55763302
pathbased;3;2.6;0.52528078;0.55826529
pathbased;3;2.8;0.52944296;0.56144836
pathbased;3;3.0;0.53230813;0.56462662
pathbased;3;3.2;0.53797748;0.56809806
pathbased;3;30.0;0.70421609;0.72904592




new 
pathbased;3;1.0;0.49972608;0.54044932
pathbased;3;1.2;0.51432569;0.55049008
pathbased;3;1.4;0.51382937;0.54994383
pathbased;3;1.6;0.51748057;0.55251824
pathbased;3;1.8;0.52535465;0.55982398
pathbased;3;2.0;0.52157621;0.55559301
pathbased;3;2.2;0.52702294;0.56018210
pathbased;3;2.4;0.52702294;0.56018210
pathbased;3;2.6;0.53230813;0.56462662
pathbased;3;2.8;0.53451416;0.56711566
pathbased;3;3.0;0.53500021;0.56618533
pathbased;3;3.2;0.53140107;0.56361000
